                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0393,                 1.1732,                 1.4195,                0.64512,                0.62926,                0.64344,                0.33599,                 1.4211,                 1.6948,                 1.7835,              0.0016775,              0.0016775,              0.0016775
                     59,                 1.0471,                 1.2289,                 1.4214,                0.72863,                0.73077,                 0.7498,                0.47338,                 1.2775,                 1.4207,                 1.6902,              0.0016719,              0.0016719,              0.0016719
                     60,                 1.0454,                 1.1967,                 1.4286,                0.76953,                0.65385,                 0.7314,                0.43141,                  1.309,                 1.5253,                 1.7345,              0.0016662,              0.0016662,              0.0016662
                     61,                 1.0591,                  1.216,                  1.442,                0.61597,                0.67949,                0.67237,                0.40649,                 1.4475,                 1.6643,                 1.7991,              0.0016606,              0.0016606,              0.0016606
                     62,                 1.0945,                 1.2786,                 1.4469,                 0.8543,                 0.6014,                0.69133,                0.40396,                 1.3668,                 1.6636,                 1.7726,              0.0016549,              0.0016549,              0.0016549
                     63,                 1.0763,                 1.2473,                 1.4392,                0.72753,                0.65046,                0.76337,                0.44384,                 1.2858,                  1.472,                 1.6863,              0.0016493,              0.0016493,              0.0016493
                     64,                 1.0714,                 1.1985,                 1.4376,                0.72437,                0.64103,                0.70658,                0.42356,                 1.3851,                 1.5278,                 1.8018,              0.0016436,              0.0016436,              0.0016436
                     65,                 1.0818,                 1.2867,                 1.4493,                0.90548,                0.64103,                0.76508,                0.46747,                 1.3419,                 1.4725,                 1.7466,              0.0016379,              0.0016379,              0.0016379
                     66,                 1.0256,                 1.1832,                  1.389,                0.73691,                0.66667,                0.73371,                0.44021,                 1.3709,                 1.5702,                 1.7391,              0.0016323,              0.0016323,              0.0016323
                     67,                 1.1234,                 1.2077,                   1.44,                 0.7024,                0.60256,                 0.6742,                 0.3889,                  1.385,                 1.9025,                 1.7683,              0.0016266,              0.0016266,              0.0016266
                     68,                 1.0638,                 1.2035,                 1.4276,                0.70982,                0.66667,                0.69602,                 0.4062,                 1.3535,                 1.6065,                 1.7801,               0.001621,               0.001621,               0.001621
                     69,                  1.039,                 1.1902,                 1.4107,                0.88533,                0.59393,                0.73267,                0.46108,                 1.3017,                 1.4209,                 1.7343,              0.0016153,              0.0016153,              0.0016153
                     70,                 1.0559,                 1.2183,                 1.4345,                0.79514,                0.69672,                0.76314,                 0.4881,                  1.282,                 1.3289,                 1.6731,              0.0016097,              0.0016097,              0.0016097
                     71,                 1.0257,                 1.1846,                 1.4029,                 0.7593,                0.67949,                0.76279,                0.46807,                 1.2827,                 1.4558,                 1.6527,               0.001604,               0.001604,               0.001604
                     72,                 1.0779,                 1.1814,                 1.4178,                0.61572,                0.63684,                0.66245,                0.39368,                 1.3497,                 1.7001,                 1.7261,              0.0015983,              0.0015983,              0.0015983
                     73,                 1.0408,                 1.1436,                 1.4027,                0.90622,                0.51282,                 0.6631,                0.37583,                 1.3486,                 1.6441,                  1.755,              0.0015927,              0.0015927,              0.0015927
                     74,                 1.0816,                  1.162,                 1.4463,                0.66202,                0.70317,                0.70274,                0.43401,                 1.3197,                 1.4984,                 1.7065,               0.001587,               0.001587,               0.001587
                     75,                 1.0696,                 1.1871,                 1.4167,                0.73003,                 0.5641,                0.65293,                0.38732,                 1.3233,                 1.7567,                 1.7724,              0.0015814,              0.0015814,              0.0015814
                     76,                 1.0115,                 1.1107,                 1.4059,                0.75722,                 0.6398,                0.71411,                0.47135,                 1.2074,                 1.3807,                 1.6276,              0.0015757,              0.0015757,              0.0015757
                     77,                 1.0243,                 1.1312,                 1.4045,                0.76318,                0.66111,                0.74243,                0.45037,                 1.3349,                 1.4251,                 1.7073,              0.0015701,              0.0015701,              0.0015701
                     78,                 1.0638,                 1.1641,                 1.4377,                0.65418,                0.63057,                0.62882,                0.37594,                 1.3505,                 1.7201,                 1.7254,              0.0015644,              0.0015644,              0.0015644
                     79,                 1.0047,                  1.078,                 1.3828,                0.73412,                0.67949,                0.73438,                0.48303,                 1.2305,                 1.4285,                 1.6411,              0.0015587,              0.0015587,              0.0015587
                     80,                 1.0249,                 1.1381,                 1.3752,                0.67669,                0.69231,                0.72069,                0.42805,                 1.3052,                 1.5553,                 1.7043,              0.0015531,              0.0015531,              0.0015531
                     81,                 1.0173,                 1.0646,                  1.391,                0.80312,                0.65385,                0.77261,                0.46226,                 1.2767,                 1.3507,                 1.6391,              0.0015474,              0.0015474,              0.0015474
                     82,                 1.0662,                 1.1214,                 1.4074,                0.72051,                0.72714,                0.72679,                0.42326,                 1.2912,                 1.4145,                 1.6752,              0.0015418,              0.0015418,              0.0015418
                     83,                 1.0412,                 1.1376,                   1.41,                0.78259,                0.69222,                0.73133,                0.46533,                 1.1775,                 1.4231,                 1.5879,              0.0015361,              0.0015361,              0.0015361
                     84,                0.96011,                 1.0459,                 1.3533,                0.86579,                0.64103,                 0.7313,                0.45299,                 1.2947,                 1.5866,                 1.6615,              0.0015305,              0.0015305,              0.0015305
                     85,                 1.0219,                 1.1632,                  1.404,                0.74498,                0.64103,                0.68464,                0.40605,                 1.3652,                 1.4997,                 1.7652,              0.0015248,              0.0015248,              0.0015248
                     86,                 1.0014,                 1.1034,                 1.3716,                 0.7731,                0.78632,                0.78473,                0.49155,                 1.3066,                 1.4813,                 1.7178,              0.0015191,              0.0015191,              0.0015191
                     87,                  0.991,                  1.086,                 1.3691,                0.72179,                0.73077,                0.71084,                0.38353,                 1.4687,                 1.5552,                 1.9006,              0.0015135,              0.0015135,              0.0015135
                     88,                 1.0426,                 1.1144,                 1.4038,                0.68532,                0.69231,                0.70383,                  0.451,                 1.2439,                 1.3753,                 1.5997,              0.0015078,              0.0015078,              0.0015078
                     89,                 1.0076,                 1.0995,                 1.3831,                0.70178,                0.71795,                0.73271,                0.43532,                 1.2787,                  1.409,                 1.6572,              0.0015022,              0.0015022,              0.0015022
                     90,                0.97682,                 1.0619,                 1.3593,                0.67132,                0.69231,                0.74436,                 0.4542,                 1.3096,                  1.305,                 1.6601,              0.0014965,              0.0014965,              0.0014965
                     91,                0.94129,                 1.0408,                 1.3459,                0.62888,                0.67949,                 0.6907,                0.41814,                 1.2699,                 1.5871,                 1.6642,              0.0014909,              0.0014909,              0.0014909
                     92,                0.98323,                 1.0353,                 1.3497,                 0.6787,                0.67949,                0.71006,                 0.4172,                  1.329,                 1.5241,                 1.7081,              0.0014852,              0.0014852,              0.0014852
                     93,                0.97886,                 1.0014,                 1.3521,                0.69011,                0.68525,                0.74842,                0.45678,                 1.3047,                 1.4537,                  1.679,              0.0014795,              0.0014795,              0.0014795
